Month,Region,Target_enrolments,Actual_enrolments,Attainment_pct,,
2024-01,East,7,0,9000.0,,0.0
2024-01,North,10,2,14000.0,2500.0,20.0
2024-01,South,8,1,10000.0,1200.0,12.5
2024-01,West,6,1,8000.0,1200.0,16.7
2024-02,East,8,2,10000.0,2200.0,25.0
2024-02,North,11,0,15000.0,,0.0
2024-02,South,9,2,11000.0,2500.0,22.2
2024-02,West,8,1,11000.0,1500.0,12.5
2024-03,East,9,2,11000.0,2200.0,22.2
2024-03,North,12,2,16000.0,2500.0,16.7
2024-03,South,10,2,13000.0,2700.0,20.0
2024-03,West,9,1,12000.0,1000.0,11.1
2024-04,East,8,1,10000.0,1000.0,12.5
2024-04,North,10,2,14000.0,2700.0,20.0
2024-04,South,10,1,12000.0,1000.0,10.0
2024-04,West,9,2,12000.0,2700.0,22.2
