Month,Region,total_enrolments,total_revenue
2024-01,North,2,2500.0
2024-01,South,1,1200.0
2024-01,West,1,1200.0
2024-02,East,2,2200.0
2024-02,South,2,2500.0
2024-02,West,1,1500.0
2024-03,East,2,2200.0
2024-03,North,2,2500.0
2024-03,South,2,2700.0
2024-03,West,1,1000.0
2024-04,East,1,1000.0
2024-04,North,2,2700.0
2024-04,South,1,1000.0
2024-04,West,2,2700.0
2024-05,East,2,2500.0
2024-05,North,1,1200.0
2024-05,South,2,2700.0
2024-05,West,2,2200.0
2024-06,East,2,2700.0
2024-06,North,2,2500.0
2024-06,South,1,1000.0
2024-06,West,1,1000.0
2024-07,North,1,1200.0
2024-07,South,2,2500.0
2024-07,West,2,2700.0
